utt_id	spkr_id	lang	text	dur	file_id
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A05	A05	urum	gürjistana gäldıh biz turtsia bizä dad vermer	3.655	doreco_urum1249_UUM-TXT-AN-00000-A05
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A06	A06	urum	bänım dädämın babasi spiridon gäldi gretsiadan ämıläriinän barabar	6.91	doreco_urum1249_UUM-TXT-AN-00000-A06
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A08	A08	urum	bänım nahılederdi ki šeidır fs_turtsiada turtsiada dögüš fs_olir turtsiada dögüš olirdi biz ğačtıh gäldıh buraya jinisä	8.53	doreco_urum1249_UUM-TXT-AN-00000-A08
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A10	A10	urum	diillär ki halh yaširdi turtsiada	2.565	doreco_urum1249_UUM-TXT-AN-00000-A10
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A12	A12	urum	bizım babamın dädäsi turtsiadan gäldılär	2.77	doreco_urum1249_UUM-TXT-AN-00000-A12
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A13	A13	urum	elä duimıšıh ište bizlär näsıl gäldıh dädämız äbämız turtsiada dögüš oldi	5.79	doreco_urum1249_UUM-TXT-AN-00000-A13
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A15	A15	urum	bän elä duimištim šei fs_dögüštän dädälärım dädäsi ğačmıšti buraya ište bizdä gäldıh ište ište buraya ambelä šei yašamah	10.39	doreco_urum1249_UUM-TXT-AN-00000-A15
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A16	A16	urum	kim bizım diljä diem	2.357	doreco_urum1249_UUM-TXT-AN-00000-A16
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B01	B01	urum	bizım halh turtsiadan bin gälmıš šeä gürjistana bin dohkuz yuz igirmi elın ičındä näsıl ki biz duimıšıh dädädän atadan	12.585	doreco_urum1249_UUM-TXT-AN-00000-B01
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B02	B02	urum	bizım halh gürjistana gäldi kharstan turkiadan	3.872	doreco_urum1249_UUM-TXT-AN-00000-B02
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B03	B03	urum	fp_aa bizım halh gretsiadan onučun gäldılär ki turklar turklar ğoyurmierdılär onnari orda yašialär	10.893	doreco_urum1249_UUM-TXT-AN-00000-B03
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B06	B06	urum	dögüštän sora čoğ urum halh ğaldi ğapibajasız	4.632	doreco_urum1249_UUM-TXT-AN-00000-B06
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B07	B07	urum	ui_bizım_halh yašierdi ğarsta	2.02	doreco_urum1249_UUM-TXT-AN-00000-B07
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B10	B10	urum	bizım halh gäldi gürjistana čohtan	4.505	doreco_urum1249_UUM-TXT-AN-00000-B10
0001_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B11	B11	urum	nävädä ki bašlandi dögüš turtsiainan gretsiainan bizım halh ui_ğačtılar oyani ui_buyani	7.729	doreco_urum1249_UUM-TXT-AN-00000-B11
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A04	A04	urum	biz bizım kövdä var kissä angısının böyuk kissädır meriamanadır	7.328	doreco_urum1249_UUM-TXT-FE-00000-A04
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B02	B02	urum	meriamanadada bizım šeida tsalkada varıdi bir köv gäräk dierlär orda olier	8.108	doreco_urum1249_UUM-TXT-FE-00000-B02
0001_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B06	B06	urum	biz čoğ säverıh meriamana güni	2.01	doreco_urum1249_UUM-TXT-FE-00000-B06
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A04	A04	urum	bänim äbälärim dädälärim äp urumdurlar	5.74	doreco_urum1249_UUM-TXT-FM-00000-A04
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A05	A05	urum	baba anadan oldi beštänä ğardaš birtänädä baji	3.04	doreco_urum1249_UUM-TXT-FM-00000-A05
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A06	A06	urum	ğariinän bänıh	1.2	doreco_urum1249_UUM-TXT-FM-00000-A06
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A09	A09	urum	biz fs_burda fs_o olduh burdada yašadıh babam anam buradaidi dädä äbämäbä äp buradaidıh	7.903	doreco_urum1249_UUM-TXT-FM-00000-A09
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A11	A11	urum	semyam bän iki ğari aldım birınji ğarımdan üčtänä ušağım varıdi iki ğız bir oğlan iki ğız bir oğlan	8.777	doreco_urum1249_UUM-TXT-FM-00000-A11
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A13	A13	urum	babam anam vardır üčtänädä ušağım	3.2	doreco_urum1249_UUM-TXT-FM-00000-A13
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A15	A15	urum	ğardašım vardır babam mamam an dörttänäih ävdä	4.121	doreco_urum1249_UUM-TXT-FM-00000-A15
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A16	A16	urum	ištem nä bänım ui_ataanam čoban adamıdi savkhozda čobannığa gidirdılär sora ištem bizläri peida ettılär čätınnıh onnanda yašamah čätınıdi čoban adam ki nä olajah čätınnıh	12.225	doreco_urum1249_UUM-TXT-FM-00000-A16
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B01	B01	urum	bänım anam gäräkliidi babamda baškövli	3.666	doreco_urum1249_UUM-TXT-FM-00000-B01
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B02	B02	urum	bizım ojahımızdada anamıdi babamıdi dört ğardašıh bir böyugümüz baji bajımıs böyuk	9.534	doreco_urum1249_UUM-TXT-FM-00000-B02
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B03	B03	urum	fp_m bänım mamamın babanın fp_m analari babalari yašierdılär kövdä	10.314	doreco_urum1249_UUM-TXT-FM-00000-B03
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B04	B04	urum	bänım anam oldi tiflistä ama fs_ba babam oldi tsalkada	5.942	doreco_urum1249_UUM-TXT-FM-00000-B04
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B06	B06	urum	babam yašierdi kövdä	1.44	doreco_urum1249_UUM-TXT-FM-00000-B06
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B07	B07	urum	kövdäidım ohudum fs_ğ ğurtuldum onunji klasi	4.665	doreco_urum1249_UUM-TXT-FM-00000-B07
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B08	B08	urum	bän yašıerdım kövdä eddikissädır kövün adi	3.042	doreco_urum1249_UUM-TXT-FM-00000-B08
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B12	B12	urum	Tsalkada yašierdıh kövdä adi jızğaros	4.042	doreco_urum1249_UUM-TXT-FM-00000-B12
0001_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B16	B16	urum	bän oldum tiflisdä	2.246	doreco_urum1249_UUM-TXT-FM-00000-B16
0001_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A08	A08	urum	biz biz ohirdıh urusča ohirdıh školada	3.25	doreco_urum1249_UUM-TXT-LG-00000-A08
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A06	A06	urum	zängin kövüdi kolkhoz yahšiidi	2.738	doreco_urum1249_UUM-TXT-VL-00000-A06
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A10	A10	urum	jinis fs_biräm bizım kövün adi jinisdır	2.388	doreco_urum1249_UUM-TXT-VL-00000-A10
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A12	A12	urum	karakomda šindi ečbiše yohtur äp svannarınan ajarlar yašierlär	3.727	doreco_urum1249_UUM-TXT-VL-00000-A12
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A15	A15	urum	školasi var äriši var šeidä birınjidır klubi var sportzali var dügün šei obšepiti var	10.356	doreco_urum1249_UUM-TXT-VL-00000-A15
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B01	B01	urum	biz yašierdıh babam yašierdi baškövdä	4.016	doreco_urum1249_UUM-TXT-VL-00000-B01
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B02	B02	urum	bizım fs_kövdä čoğ yahši erdädır gölün ögündädır elä	4.125	doreco_urum1249_UUM-TXT-VL-00000-B02
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B04	B04	urum	bizım köv čoğ güzäl erdädır jızğaros	3.973	doreco_urum1249_UUM-TXT-VL-00000-B04
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B09	B09	urum	mamamın ködä ee yahši ee ee yapılardır	8.72	doreco_urum1249_UUM-TXT-VL-00000-B09
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B12	B12	urum	kövümüzüm adi jısğaro	1.962	doreco_urum1249_UUM-TXT-VL-00000-B12
0001_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B16	B16	urum	babam yašierdi eddikilisädä soram gečti tiflisä	5.422	doreco_urum1249_UUM-TXT-VL-00000-B16
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A04	A04	urum	pr_bizım gäldılär ata ana äbä dädä bin säkkizuyz igirmi dohküzunjidan fp_vot bin säkkizuyz ottuzunji ellar	13.492	doreco_urum1249_UUM-TXT-AN-00000-A04
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A05	A05	urum	di	0.416	doreco_urum1249_UUM-TXT-AN-00000-A05
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A06	A06	urum	jaal oğlanıdi biräz ki yašadiisä ävländi burda	6.388	doreco_urum1249_UUM-TXT-AN-00000-A06
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A07	A07	urum	orda käsirdılär buraya gäldılär	2.836	doreco_urum1249_UUM-TXT-AN-00000-A07
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A08	A08	urum	yaptıh yapi	0.864	doreco_urum1249_UUM-TXT-AN-00000-A08
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A13	A13	urum	turtsialar ğırirdılar bizım halhi	2.209	doreco_urum1249_UUM-TXT-AN-00000-A13
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A15	A15	urum	ište gäldım birınji fahırlığıdi belä sora sora ište babam onnar onnar ište oldum bän	9.37	doreco_urum1249_UUM-TXT-AN-00000-A15
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B02	B02	urum	bin säkiz yuz otuz birınji sänädä	2.065	doreco_urum1249_UUM-TXT-AN-00000-B02
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B06	B06	urum	čoğ fs_gü gün oldaidılar	2.172	doreco_urum1249_UUM-TXT-AN-00000-B06
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B07	B07	urum	bašlandi dögüš	1.518	doreco_urum1249_UUM-TXT-AN-00000-B07
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B11	B11	urum	kimısi getti rusetä kimısi gruziaya gäldi ukrainaya gettılär	4.437	doreco_urum1249_UUM-TXT-AN-00000-B11
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B12	B12	urum	orda turklar ınan bašlandi dögüš	3.757	doreco_urum1249_UUM-TXT-AN-00000-B12
0002_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B14	B14	urum	gäldılär sora yašierdılär tsalkada	2.913	doreco_urum1249_UUM-TXT-AN-00000-B14
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A04	A04	urum	bizdän öttüri o böyuk prazdniktır	4.285	doreco_urum1249_UUM-TXT-FE-00000-A04
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A07	A07	urum	äväldän ğarılar äväldän čoğ bülirdılär bar dutar oinardılär čağırırdılär	6.132	doreco_urum1249_UUM-TXT-FE-00000-A07
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A10	A10	urum	sora sabah özgä yanından gretsiad an gälirlär rassiadan kiprdan kimki nerdä var gälerlär mum yaher	6.266	doreco_urum1249_UUM-TXT-FE-00000-A10
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A11	A11	urum	oğulušağınan barabar äp tomari šendigınän barabar oturir iir ičirıh ui_anelä	8.13	doreco_urum1249_UUM-TXT-FE-00000-A11
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B01	B01	urum	gürjülär ziarat güni gidierlär ziarata	3.528	doreco_urum1249_UUM-TXT-FE-00000-B01
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B02	B02	urum	čoğ halh gälier burdan tiflistanda näki šei urumlar vardır urum milläti gidierlär orya	6.435	doreco_urum1249_UUM-TXT-FE-00000-B02
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B03	B03	urum	bizım halh fs_me fs_m meriamana güni oki olir giderlär ui_tezındän kisläya yahierlär mum	7.659	doreco_urum1249_UUM-TXT-FE-00000-B03
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B06	B06	urum	meriamana günündä onbeš avgustta biz bizım yoldašlarınan gidierıh trabzona	8.935	doreco_urum1249_UUM-TXT-FE-00000-B06
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B07	B07	urum	halh sabahtan tezdän ğalherlär mumlari alerlär	6.968	doreco_urum1249_UUM-TXT-FE-00000-B07
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B12	B12	urum	üč gün kissänın dörtyanıni kırlanajağıdıh	3.229	doreco_urum1249_UUM-TXT-FE-00000-B12
0002_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-B16	B16	urum	sora ävä gälerıh	1.137	doreco_urum1249_UUM-TXT-FE-00000-B16
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A04	A04	urum	onnar alerdılär äp fs_u urumlari belä	4.341	doreco_urum1249_UUM-TXT-FM-00000-A04
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A06	A06	urum	üčtänä oğlum varıdi biri getti rämätä böyugi	5.134	doreco_urum1249_UUM-TXT-FM-00000-A06
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A08	A08	urum	išlirıh torpah aldıh äkirıh kartol arpa iš kömäk ederım babama inäkminägınän ištem fs_ya yaširıh	11.061	doreco_urum1249_UUM-TXT-FM-00000-A08
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A10	A10	urum	birınji ğarıdan var üč ušaği iki ğız bir oğlan ikınji ğarıdan iki oğli	4.713	doreco_urum1249_UUM-TXT-FM-00000-A10
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A11	A11	urum	sora fs_ğız ğarım vosemdesyat säksän dördünji sänädä öldi	6.036	doreco_urum1249_UUM-TXT-FM-00000-A11
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A12	A12	urum	ište fs_orda yapımızın üsti torpahıdi yağıš ki yağierdi pečkoda yahierıh bir yandan üstümüzdän su ahier ğurudierıh bir yandan soyuh yağier	9.816	doreco_urum1249_UUM-TXT-FM-00000-A12
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-A16	A16	urum	sora äv yaptılar bašladılar üč oğli varıdi ištem böyulttular kimısi ohudi kimısi ohumadi ävländılär biri getti rassiaya ikısi ğaldi dzalgada	13.88	doreco_urum1249_UUM-TXT-FM-00000-A16
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B02	B02	urum	sora elä oldi fs_la yahši yašierdıh	3.642	doreco_urum1249_UUM-TXT-FM-00000-B02
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B04	B04	urum	ordanda älä getti urusetä išlämäya	3.175	doreco_urum1249_UUM-TXT-FM-00000-B04
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B06	B06	urum	fp_a babamın sağ ojahida kövdä yašierdi	2.74	doreco_urum1249_UUM-TXT-FM-00000-B06
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B07	B07	urum	sora chıhtım gäldım tiflisä	2.403	doreco_urum1249_UUM-TXT-FM-00000-B07
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B08	B08	urum	orda güzäl yašierdıh möibätli arhein	2.657	doreco_urum1249_UUM-TXT-FM-00000-B08
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B09	B09	urum	bänım ataanalar yašerdılar tsalkada	3.707	doreco_urum1249_UUM-TXT-FM-00000-B09
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B12	B12	urum	orda yašamah eyidi	2.51	doreco_urum1249_UUM-TXT-FM-00000-B12
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B14	B14	urum	anam babam sora gäldılär šäärä sora bän fs_ol bän gäldım bu dünäya	5.692	doreco_urum1249_UUM-TXT-FM-00000-B14
0002_DoReCo_doreco_urum1249_UUM-TXT-FM-00000-B16	B16	urum	bänım mamam fs_dmanisis dmanisidän babam tsalkadandır eddikilisädän	10.399	doreco_urum1249_UUM-TXT-FM-00000-B16
0002_DoReCo_doreco_urum1249_UUM-TXT-LG-00000-A06	A06	urum	onučun ki biz ohuduh fs_ruski urus dilındän školada sorarda gettıh urusetä instituta girdıh urusča ohuduh	10.578	doreco_urum1249_UUM-TXT-LG-00000-A06
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A04	A04	urum	jinistır kövun adi angisiki bizım predokların demäsiinän atadädänın sözläriinän duimıšıh ki jinis iki jürä olur demäh	14.277	doreco_urum1249_UUM-TXT-VL-00000-A04
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A06	A06	urum	bizım bizım kövün halhi išlian halhıdi jinisın halhi ui_čoğ ui_išlierdılär	6.33	doreco_urum1249_UUM-TXT-VL-00000-A06
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A10	A10	urum	jinis birınji kövdür böyük kövdür	3.975	doreco_urum1249_UUM-TXT-VL-00000-A10
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A11	A11	urum	burda urumluh yaširdi özgä millät yašamirdi fp_m urumluh yaširdi	4.344	doreco_urum1249_UUM-TXT-VL-00000-A11
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-A15	A15	urum	dır	0.326	doreco_urum1249_UUM-TXT-VL-00000-A15
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B01	B01	urum	bašköv čoğ güzäl kövdür	2.71	doreco_urum1249_UUM-TXT-VL-00000-B01
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B02	B02	urum	eykä göldur orda balıhta dutierdıh	3.438	doreco_urum1249_UUM-TXT-VL-00000-B02
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B03	B03	urum	bizım kövdä varıdi školada	2.096	doreco_urum1249_UUM-TXT-VL-00000-B03
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B06	B06	urum	güzäl yapılar güzäl güzäl yollar güzäl čamlar	6.629	doreco_urum1249_UUM-TXT-VL-00000-B06
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B07	B07	urum	günnäri olerdi äp halh gälerdi	2.97	doreco_urum1249_UUM-TXT-VL-00000-B07
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B09	B09	urum	aa orda mm var ee fırınlar	3.37	doreco_urum1249_UUM-TXT-VL-00000-B09
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B10	B10	urum	čoğ yahšiidi	0.883	doreco_urum1249_UUM-TXT-VL-00000-B10
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B12	B12	urum	güzäl kövdür	0.942	doreco_urum1249_UUM-TXT-VL-00000-B12
0002_DoReCo_doreco_urum1249_UUM-TXT-VL-00000-B14	B14	urum	bän čoğ čüčügüdüm pr_oki giderdım kövä kövün adi baškövdür	5.953	doreco_urum1249_UUM-TXT-VL-00000-B14
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A04	A04	urum	oralar bizım džinis kövün halhi gäldi ordanda gäldılär kharstan birdä ärzurumdan	8.053	doreco_urum1249_UUM-TXT-AN-00000-A04
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A06	A06	urum	ävländi oldi ušahlari oğli oldi iki oğlan oldi ikidä ğız	9.913	doreco_urum1249_UUM-TXT-AN-00000-A06
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A08	A08	urum	mapi yapılar äksiidi yaširdıh sora ettıh täzä yaptıh yapılar	6.075	doreco_urum1249_UUM-TXT-AN-00000-A08
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A09	A09	urum	turklar hä aldi turklar	1.931	doreco_urum1249_UUM-TXT-AN-00000-A09
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A10	A10	urum	ište ordan gäldi düštülär gürjistana itırdılär dillärıni	3.282	doreco_urum1249_UUM-TXT-AN-00000-A10
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A12	A12	urum	bizım onnarda dinnärıni istämädılär itırälär dedılär dilımızi biz itırerıh	4.345	doreco_urum1249_UUM-TXT-AN-00000-A12
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-A16	A16	urum	ğarsdan dierlär bizdä onučunda bizä dierdılär ğarslisıs	2.603	doreco_urum1249_UUM-TXT-AN-00000-A16
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B01	B01	urum	yolda onnar gälierdılär čoğ čätın	2.661	doreco_urum1249_UUM-TXT-AN-00000-B01
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B02	B02	urum	burda yarısi ğaldi burda gürjistanda yarısi getti urusetä stavropol krayina	9.484	doreco_urum1249_UUM-TXT-AN-00000-B02
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B04	B04	urum	bizım halhada bir urus adam kömäk etti	2.721	doreco_urum1249_UUM-TXT-AN-00000-B04
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B07	B07	urum	häp čıhtılar yola	1.651	doreco_urum1249_UUM-TXT-AN-00000-B07
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B10	B10	urum	niä gäldi näblem pr_šindi yašamah orda kötiidi	4.653	doreco_urum1249_UUM-TXT-AN-00000-B10
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B11	B11	urum	čoğ čätınnıh gečtılär čoğ	3.52	doreco_urum1249_UUM-TXT-AN-00000-B11
0003_DoReCo_doreco_urum1249_UUM-TXT-AN-00000-B14	B14	urum	tsalkada yašierdılär čoğ čätınnığıdi čoğ čätınnıh gördülär	6.62	doreco_urum1249_UUM-TXT-AN-00000-B14
0003_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A04	A04	urum	igirmi säkkizındä avgustun biz o güni gejädän eğılirıh kissäya	6.53	doreco_urum1249_UUM-TXT-FE-00000-A04
0003_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A05	A05	urum	biz girirıh nastayaši kövımızi ederıh bülirıh ki bizım allağın allağımızın anasi meriamanadır mamasi	8.761	doreco_urum1249_UUM-TXT-FE-00000-A05
0003_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A06	A06	urum	o güni halh išä getmer gidirlär kissänın ğapısına kissäya mumlari yahirlar	10.139	doreco_urum1249_UUM-TXT-FE-00000-A06
0003_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A12	A12	urum	orda mumlarımızi yahierıh orda egi ički götürierlär stola ğoierlär iän ier	4.657	doreco_urum1249_UUM-TXT-FE-00000-A12
0003_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A13	A13	urum	bänım semyam diah ki ğalhirıh gidirıh halhta orda äp eğılirıh ğurbani kimın var götürirıh mumumuzi yahirıh ğurbanımızi fırladirıh käsirıh	9.92	doreco_urum1249_UUM-TXT-FE-00000-A13
0003_DoReCo_doreco_urum1249_UUM-TXT-FE-00000-A14	A14	urum	fp_ee ğurbani götürär götürür ğurbani käsirıh ğurbani kissänın ğapısında güzäl oturirıh iip ičmäh	8.121	doreco_urum1249_UUM-TXT-FE-00000-A14
